,State,Year,Quater,District,Transaction_count,Transaction_amount,id
231,Andhra Pradesh,2021,Q2,Spsr Nellore District,30290406,72283071757.09679,28
232,Andhra Pradesh,2021,Q2,Vizianagaram District,12689494,29140685236.830723,28
233,Andhra Pradesh,2021,Q2,Visakhapatnam District,54390299,114439012713.35336,28
234,Andhra Pradesh,2021,Q2,Prakasam District,19944047,54535328043.04135,28
235,Andhra Pradesh,2021,Q2,Anantapur District,25123346,60987487571.27992,28
236,Andhra Pradesh,2021,Q2,Ysr District,18457361,52523527031.02132,28
237,Andhra Pradesh,2021,Q2,West Godavari District,20950964,57233116236.18796,28
238,Andhra Pradesh,2021,Q2,Kurnool District,21972396,56659287474.99581,28
239,Andhra Pradesh,2021,Q2,Chittoor District,34344902,73654690122.43158,28
240,Andhra Pradesh,2021,Q2,Guntur District,32968819,82356914463.83287,28
241,Andhra Pradesh,2021,Q2,Krishna District,36370960,90021923049.96454,28
242,Andhra Pradesh,2021,Q3,East Godavari District,39572714,89380370072.7078,28
243,Andhra Pradesh,2021,Q3,Srikakulam District,15639768,34836400769.876816,28
244,Andhra Pradesh,2021,Q3,Spsr Nellore District,34411958,77839676988.30869,28
245,Andhra Pradesh,2021,Q3,Vizianagaram District,14510005,31383541628.212524,28
246,Andhra Pradesh,2021,Q3,Visakhapatnam District,69220981,136945652159.26517,28
247,Andhra Pradesh,2021,Q3,Prakasam District,24116580,63367713446.928055,28
248,Andhra Pradesh,2021,Q3,Anantapur District,30366444,70291248155.64975,28
249,Andhra Pradesh,2021,Q3,Ysr District,22439316,60683557724.652336,28
250,Andhra Pradesh,2021,Q3,West Godavari District,26245039,66647238455.1675,28
251,Andhra Pradesh,2021,Q3,Kurnool District,26377809,62527453761.59807,28
252,Andhra Pradesh,2021,Q3,Chittoor District,42628568,89371931753.04831,28
253,Andhra Pradesh,2021,Q3,Guntur District,41675093,96525353090.12305,28
254,Andhra Pradesh,2021,Q3,Krishna District,44828275,104417897558.58972,28
255,Andhra Pradesh,2021,Q4,East Godavari District,48992531,106725597026.00356,28
256,Andhra Pradesh,2021,Q4,Srikakulam District,18501857,39713657870.15512,28
257,Andhra Pradesh,2021,Q4,Spsr Nellore District,41921081,92256405076.26547,28
258,Andhra Pradesh,2021,Q4,Vizianagaram District,17253059,36577529464.9687,28
259,Andhra Pradesh,2021,Q4,Visakhapatnam District,82711538,159530099772.73474,28
260,Andhra Pradesh,2021,Q4,Prakasam District,27858275,71323060008.47623,28
261,Andhra Pradesh,2021,Q4,Anantapur District,36129136,81239787006.64764,28
262,Andhra Pradesh,2021,Q4,Ysr District,26340348,69081850069.2033,28
263,Andhra Pradesh,2021,Q4,West Godavari District,33235175,81292461575.08182,28
264,Andhra Pradesh,2021,Q4,Kurnool District,31782248,73968947669.64754,28
265,Andhra Pradesh,2021,Q4,Chittoor District,51119640,103985734663.73514,28
266,Andhra Pradesh,2021,Q4,Guntur District,50919286,115553993673.17336,28
267,Andhra Pradesh,2021,Q4,Krishna District,55489829,125015323207.89836,28
268,Andhra Pradesh,2022,Q1,East Godavari District,54738830,121067103712.79568,28
269,Andhra Pradesh,2022,Q1,Srikakulam District,20990782,46898912115.649216,28
270,Andhra Pradesh,2022,Q1,Spsr Nellore District,47645702,104895571602.13988,28
271,Andhra Pradesh,2022,Q1,Vizianagaram District,19278262,41994853361.58879,28
272,Andhra Pradesh,2022,Q1,Visakhapatnam District,88233362,170120350591.26004,28
273,Andhra Pradesh,2022,Q1,Prakasam District,31340975,79494373254.71565,28
274,Andhra Pradesh,2022,Q1,Anantapur District,40613148,90197023268.43823,28
275,Andhra Pradesh,2022,Q1,Ysr District,29783739,78421693518.90942,28
276,Andhra Pradesh,2022,Q1,West Godavari District,37271259,92397939903.60938,28
277,Andhra Pradesh,2022,Q1,Kurnool District,35093633,81568420500.54749,28
278,Andhra Pradesh,2022,Q1,Chittoor District,58561024,117900595508.634,28
279,Andhra Pradesh,2022,Q1,Guntur District,57226996,129673727687.08942,28
280,Andhra Pradesh,2022,Q1,Krishna District,61826199,139690081529.49048,28
281,Andhra Pradesh,2022,Q2,East Godavari District,62072845,135531452997.6391,28
282,Andhra Pradesh,2022,Q2,Srikakulam District,23727353,53754764122.4327,28
283,Andhra Pradesh,2022,Q2,Spsr Nellore District,54838708,121941082043.49484,28
284,Andhra Pradesh,2022,Q2,Vizianagaram District,21766135,47294745020.49564,28
285,Andhra Pradesh,2022,Q2,Visakhapatnam District,101387402,193242841582.14285,28
286,Andhra Pradesh,2022,Q2,Prakasam District,36163507,90435082545.97766,28
287,Andhra Pradesh,2022,Q2,Anantapur District,46099366,102138758015.76917,28
288,Andhra Pradesh,2022,Q2,Ysr District,33154559,87601310069.59737,28
289,Andhra Pradesh,2022,Q2,West Godavari District,44409239,107973244960.42824,28
290,Andhra Pradesh,2022,Q2,Kurnool District,40165692,92409350855.50198,28
291,Andhra Pradesh,2022,Q2,Chittoor District,67507661,136435445124.75616,28
292,Andhra Pradesh,2022,Q2,Guntur District,66315749,147098141568.7623,28
293,Andhra Pradesh,2022,Q2,Krishna District,73525814,163997729295.93134,28
294,Andhra Pradesh,2022,Q3,East Godavari District,61467134,129677722169.74828,28
295,Andhra Pradesh,2022,Q3,Srikakulam District,22126541,46899962921.785614,28
296,Andhra Pradesh,2022,Q3,Spsr Nellore District,42116582,95099325968.25972,28
297,Andhra Pradesh,2022,Q3,Vizianagaram District,20440645,42513313394.84207,28
298,Andhra Pradesh,2022,Q3,Visakhapatnam District,97434546,181124419863.61444,28
299,Andhra Pradesh,2022,Q3,Prakasam District,35376080,87475230073.46387,28
300,Andhra Pradesh,2022,Q3,Anantapur District,45165363,97735649608.10074,28
301,Andhra Pradesh,2022,Q3,Ysr District,33119038,86016932181.12372,28
302,Andhra Pradesh,2022,Q3,West Godavari District,43635951,101706854744.31876,28
303,Andhra Pradesh,2022,Q3,Kurnool District,39557913,88415335176.31995,28
304,Andhra Pradesh,2022,Q3,Chittoor District,65751781,133053581631.6395,28
305,Andhra Pradesh,2022,Q3,Guntur District,65612317,141588522953.23773,28
306,Andhra Pradesh,2022,Q3,Krishna District,71051144,153770559025.69125,28
307,Andhra Pradesh,2022,Q4,East Godavari District,68016055,136531110139.86256,28
308,Andhra Pradesh,2022,Q4,Srikakulam District,23693779,47726411107.88628,28
309,Andhra Pradesh,2022,Q4,Spsr Nellore District,42582064,92085916180.6851,28
310,Andhra Pradesh,2022,Q4,Vizianagaram District,22205190,44467386404.34758,28
311,Andhra Pradesh,2022,Q4,Visakhapatnam District,103790055,185306149744.73108,28
312,Andhra Pradesh,2022,Q4,Prakasam District,37211077,88105031866.36835,28
313,Andhra Pradesh,2022,Q4,Anantapur District,48299601,101533878537.23431,28
314,Andhra Pradesh,2022,Q4,Ysr District,35201596,87360426792.81667,28
315,Andhra Pradesh,2022,Q4,West Godavari District,47919930,105335724990.59325,28
316,Andhra Pradesh,2022,Q4,Kurnool District,43524766,94667441029.08344,28
317,Andhra Pradesh,2022,Q4,Chittoor District,70322534,136840859888.18156,28
318,Andhra Pradesh,2022,Q4,Guntur District,70723763,146938735166.52365,28
319,Andhra Pradesh,2022,Q4,Krishna District,76526667,157826011193.35443,28
320,Arunanchal Pradesh,2018,Q1,Lower Dibang Valley District,1356,1076236.814073793,12
321,Arunanchal Pradesh,2018,Q1,Lower Subansiri District,1477,3650727.893614269,12
322,Arunanchal Pradesh,2018,Q1,Longding District,2321,4361531.578447229,12
323,Arunanchal Pradesh,2018,Q1,West Siang District,1887,4796675.565399804,12
324,Arunanchal Pradesh,2018,Q1,Kamle District,14,7971.330494807651,12
325,Arunanchal Pradesh,2018,Q1,Upper Siang District,126,186610.66988095015,12
326,Arunanchal Pradesh,2018,Q1,Tirap District,945,1064265.0002443574,12
327,Arunanchal Pradesh,2018,Q1,Papum Pare District,14224,32555848.46233148,12
328,Arunanchal Pradesh,2018,Q1,Kurung Kumey District,84,99416.58027150274,12
329,Arunanchal Pradesh,2018,Q1,Siang District,252,339471.80434222345,12
330,Arunanchal Pradesh,2018,Q1,Lower Siang District,1292,2337960.7148240386,12
331,Arunanchal Pradesh,2018,Q1,Kra Daadi District,207,495375.1454853307,12
332,Arunanchal Pradesh,2018,Q1,Changlang District,3195,5380749.415278763,12
333,Arunanchal Pradesh,2018,Q1,Pakke Kessang District,9,9131.4042057372,12
334,Arunanchal Pradesh,2018,Q1,Dibang Valley District,2,169.88856537681642,12
335,Arunanchal Pradesh,2018,Q1,West Kameng District,5787,9540632.547015157,12
336,Arunanchal Pradesh,2018,Q1,East Siang District,3286,5533620.186295529,12
