,State,Year,Quater,District,Registered_user,App_opening,id
211,Andhra Pradesh,2020,Q4,Spsr Nellore District,1022944,54765443,28
212,Andhra Pradesh,2020,Q4,Vizianagaram District,634462,35110885,28
213,Andhra Pradesh,2020,Q4,Ysr District,959182,49596303,28
214,Andhra Pradesh,2020,Q4,West Godavari District,1163179,51170162,28
215,Andhra Pradesh,2020,Q4,Chittoor District,1631331,88232999,28
216,Andhra Pradesh,2021,Q1,East Godavari District,1878769,91478749,28
217,Andhra Pradesh,2021,Q1,Srikakulam District,782604,40590058,28
218,Andhra Pradesh,2021,Q1,Visakhapatnam District,2368081,135908324,28
219,Andhra Pradesh,2021,Q1,Prakasam District,1075936,56911479,28
220,Andhra Pradesh,2021,Q1,Anantapur District,1394849,73375049,28
221,Andhra Pradesh,2021,Q1,Kurnool District,1323411,65326230,28
222,Andhra Pradesh,2021,Q1,Guntur District,1843237,92731167,28
223,Andhra Pradesh,2021,Q1,Krishna District,1876458,92941553,28
224,Andhra Pradesh,2021,Q1,Spsr Nellore District,1100541,60691988,28
225,Andhra Pradesh,2021,Q1,Vizianagaram District,681621,37752539,28
226,Andhra Pradesh,2021,Q1,Ysr District,1032689,53525815,28
227,Andhra Pradesh,2021,Q1,West Godavari District,1254117,57392671,28
228,Andhra Pradesh,2021,Q1,Chittoor District,1751420,99083825,28
229,Andhra Pradesh,2021,Q2,East Godavari District,2006272,84705076,28
230,Andhra Pradesh,2021,Q2,Srikakulam District,837958,43740255,28
231,Andhra Pradesh,2021,Q2,Visakhapatnam District,2526830,114313154,28
232,Andhra Pradesh,2021,Q2,Prakasam District,1151232,76850749,28
233,Andhra Pradesh,2021,Q2,Anantapur District,1492738,104568606,28
234,Andhra Pradesh,2021,Q2,Kurnool District,1415585,81894678,28
235,Andhra Pradesh,2021,Q2,Guntur District,1968681,88248064,28
236,Andhra Pradesh,2021,Q2,Krishna District,2002662,85771678,28
237,Andhra Pradesh,2021,Q2,Spsr Nellore District,1176334,74049216,28
238,Andhra Pradesh,2021,Q2,Vizianagaram District,729509,42684475,28
239,Andhra Pradesh,2021,Q2,Ysr District,1103004,72255265,28
240,Andhra Pradesh,2021,Q2,West Godavari District,1339377,65118788,28
241,Andhra Pradesh,2021,Q2,Chittoor District,1870723,110505432,28
242,Andhra Pradesh,2021,Q3,East Godavari District,2150622,103626560,28
243,Andhra Pradesh,2021,Q3,Srikakulam District,902008,48622126,28
244,Andhra Pradesh,2021,Q3,Visakhapatnam District,2707931,139540800,28
245,Andhra Pradesh,2021,Q3,Prakasam District,1239147,91533813,28
